"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0419776042,0.0001905587,220.2869745883,0
"methodalpha-stratification-1str-2",-0.0002444444,0.0002640459,-0.9257649357,0.3546385127
"methodalpha-stratification-1str-3",-0.007125,0.0002640459,-26.9839438654,0
"methodeligibility",-0.0407472222,0.0002640459,-154.3187027535,0
"methodprogressive-restricted",-0.0407472222,0.0002640459,-154.3187027535,0
"methodhybrid-se-1str-2",-0.0407513889,0.0002640459,-154.3344828376,0
"methodhybrid-se-1str-3",-0.0407472222,0.0002640459,-154.3187027535,0
"methodmultiple-objective",-0.0407472222,0.0002640459,-154.3187027535,0
"target0.15",0.055378125,0.0002286705,242.1743660856,0
"itempool_size600",0.0334559028,0.0002286705,146.306182216,0
"methodalpha-stratification-1str-2:target0.15",-0.0044,0.000304894,-14.431247141,0
"methodalpha-stratification-1str-3:target0.15",0.0033722222,0.000304894,11.0603118871,0
"methodeligibility:target0.15",-0.0578388889,0.000304894,-189.7016590724,0
"methodprogressive-restricted:target0.15",-0.0578388889,0.000304894,-189.7016590724,0
"methodhybrid-se-1str-2:target0.15",-0.0578305556,0.000304894,-189.674327165,0
"methodhybrid-se-1str-3:target0.15",-0.0578388889,0.000304894,-189.7016590724,0
"methodmultiple-objective:target0.15",-0.0578388889,0.000304894,-189.7016590724,0
"methodalpha-stratification-1str-2:itempool_size600",-0.0053055556,0.000304894,-17.4013144188,0
"methodalpha-stratification-1str-3:itempool_size600",-0.0006777778,0.000304894,-2.2229951404,0.0262862836
"methodeligibility:itempool_size600",-0.0359166667,0.000304894,-117.8005211702,0
"methodprogressive-restricted:itempool_size600",-0.0359166667,0.000304894,-117.8005211702,0
"methodhybrid-se-1str-2:itempool_size600",-0.0359083333,0.000304894,-117.7731892628,0
"methodhybrid-se-1str-3:itempool_size600",-0.0359166667,0.000304894,-117.8005211702,0
"methodmultiple-objective:itempool_size600",-0.0359166667,0.000304894,-117.8005211702,0
"target0.15:itempool_size600",0.0049215278,0.000152447,32.283538033,0
