"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.265426748,0.0002384538,1113.1159161783,0
"methodalpha-stratification-1str-2",0.0301240483,0.0003304113,91.1713588392,0
"methodalpha-stratification-1str-3",0.0411952633,0.0003304113,124.6787314872,0
"methodeligibility",0.0387683495,0.0003304113,117.3336021629,0
"methodprogressive-restricted",0.0414716592,0.0003304113,125.5152520854,0
"methodhybrid-se-1str-2",0.083748304,0.0003304113,253.4668179689,0
"methodhybrid-se-1str-3",0.1090594502,0.0003304113,330.0717806965,0
"methodmultiple-objective",0.0460438266,0.0003304113,139.3530574655,0
"target0.15",-0.0020090765,0.0002861446,-7.0211934168,0
"itempool_size600",0.0089703267,0.0002861446,31.3489297621,0
"methodalpha-stratification-1str-2:target0.15",0,0.0003815261,0,1
"methodalpha-stratification-1str-3:target0.15",0,0.0003815261,0,1
"methodeligibility:target0.15",0.0317217238,0.0003815261,83.1443041872,0
"methodprogressive-restricted:target0.15",0.026462693,0.0003815261,69.3601081891,0
"methodhybrid-se-1str-2:target0.15",0.036758754,0.0003815261,96.3466247933,0
"methodhybrid-se-1str-3:target0.15",0.0362205317,0.0003815261,94.9359159798,0
"methodmultiple-objective:target0.15",0.0250971775,0.0003815261,65.7810203991,0
"methodalpha-stratification-1str-2:itempool_size600",3.02111e-05,0.0003815261,0.079184894,0.9368905499
"methodalpha-stratification-1str-3:itempool_size600",-0.0030227517,0.0003815261,-7.9227910273,0
"methodeligibility:itempool_size600",0.0132804903,0.0003815261,34.8088625672,0
"methodprogressive-restricted:itempool_size600",0.0105658267,0.0003815261,27.693586636,0
"methodhybrid-se-1str-2:itempool_size600",0.0145075824,0.0003815261,38.0251355708,0
"methodhybrid-se-1str-3:itempool_size600",0.0043446676,0.0003815261,11.387602084,0
"methodmultiple-objective:itempool_size600",0.0090186586,0.0003815261,23.6383778777,0
"target0.15:itempool_size600",0.004018153,0.0001907631,21.0635802505,0
