"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.1867303819,0.001138407,164.0277851167,0
"methodalpha-stratification-1str-2",0.0189333333,0.001577423,12.0026986294,0
"methodalpha-stratification-1str-3",0.0429666667,0.001577423,27.2385185446,0
"methodeligibility",0.2614763889,0.001577423,165.761740909,0
"methodprogressive-restricted",0.3519569444,0.001577423,223.1214683821,0
"methodhybrid-se-1str-2",0.3557222222,0.001577423,225.5084487213,0
"methodhybrid-se-1str-3",0.4811736111,0.001577423,305.0377733768,0
"methodmultiple-objective",0.4853944444,0.001577423,307.7135510422,0
"target0.15",0.0070725694,0.0013660884,5.1772413295,2.392e-07
"itempool_size600",0.0899225694,0.0013660884,65.8248528546,0
"methodalpha-stratification-1str-2:target0.15",0,0.0018214512,0,1
"methodalpha-stratification-1str-3:target0.15",0,0.0018214512,0,1
"methodeligibility:target0.15",0.1890361111,0.0018214512,103.7832404727,0
"methodprogressive-restricted:target0.15",0.1399972222,0.0018214512,76.8602638617,0
"methodhybrid-se-1str-2:target0.15",0.1811555556,0.0018214512,99.4567147762,0
"methodhybrid-se-1str-3:target0.15",0.1270305556,0.0018214512,69.7413981758,0
"methodmultiple-objective:target0.15",0.1124444444,0.0018214512,61.7334367968,0
"methodalpha-stratification-1str-2:itempool_size600",0.0046166667,0.0018214512,2.534608991,0.0113049392
"methodalpha-stratification-1str-3:itempool_size600",-0.0001666667,0.0018214512,-0.0915021296,0.9270993865
"methodeligibility:itempool_size600",0.0841472222,0.0018214512,46.1979002195,0
"methodprogressive-restricted:itempool_size600",0.1043194444,0.0018214512,57.2727079769,0
"methodhybrid-se-1str-2:itempool_size600",0.12865,0.0018214512,70.6304938688,0
"methodhybrid-se-1str-3:itempool_size600",0.1213861111,0.0018214512,66.642526052,0
"methodmultiple-objective:itempool_size600",0.0417166667,0.0018214512,22.9029830488,0
"target0.15:itempool_size600",-0.0141451389,0.0009107256,-15.5317239886,0
