"method","target","itempool_size","replication","rmse","overexposed","utilization_01","utilization_03","utilization_05","uniformity","max_spike","max_spike_1","max_spike_2","max_spike_3","max_spike_4","max_spike_5"
"no-exposure-control","0.25","900",1,0.264244051083732,0.0433333333333333,0.191111111111111,0.172222222222222,0.155555555555556,0.4949119482704,1,1,1,1,1,1
"no-exposure-control","0.25","900",2,0.26245148047309,0.0444444444444444,0.191111111111111,0.171111111111111,0.156666666666667,0.486843253939162,1,1,1,1,1,1
"no-exposure-control","0.25","900",3,0.265304831439898,0.0444444444444444,0.191111111111111,0.17,0.154444444444444,0.494871936347169,1,1,1,1,1,1
"no-exposure-control","0.25","900",4,0.266793121708808,0.0433333333333333,0.19,0.173333333333333,0.155555555555556,0.487027293455167,1,1,1,1,1,1
"no-exposure-control","0.25","900",5,0.265190146748454,0.0433333333333333,0.191111111111111,0.173333333333333,0.155555555555556,0.487871801007857,1,1,1,1,1,1
"no-exposure-control","0.25","900",6,0.265606192631963,0.0433333333333333,0.191111111111111,0.173333333333333,0.156666666666667,0.487508321502162,1,1,1,1,1,1
"no-exposure-control","0.25","900",7,0.269063112351409,0.0433333333333333,0.19,0.173333333333333,0.154444444444444,0.487473874763884,1,1,1,1,1,1
"no-exposure-control","0.25","900",8,0.264295509943826,0.0433333333333333,0.191111111111111,0.173333333333333,0.155555555555556,0.48722655001539,1,1,1,1,1,1
"no-exposure-control","0.25","900",9,0.265179258902061,0.0444444444444444,0.188888888888889,0.171111111111111,0.155555555555556,0.486691305915327,1,1,1,1,1,1
"no-exposure-control","0.25","900",10,0.263441307392732,0.0433333333333333,0.19,0.173333333333333,0.153333333333333,0.487082562875482,1,1,1,1,1,1
"no-exposure-control","0.25","900",11,0.26212295813902,0.0433333333333333,0.19,0.171111111111111,0.154444444444444,0.487751609826795,1,1,1,1,1,1
"no-exposure-control","0.25","900",12,0.266016592345327,0.0433333333333333,0.19,0.171111111111111,0.156666666666667,0.487228071525176,1,1,1,1,1,1
"no-exposure-control","0.25","900",13,0.267869558860269,0.0433333333333333,0.188888888888889,0.171111111111111,0.155555555555556,0.495186858059474,1,1,1,1,1,1
"no-exposure-control","0.25","900",14,0.267472501214894,0.0433333333333333,0.192222222222222,0.173333333333333,0.155555555555556,0.495302828933268,1,1,1,1,1,1
"no-exposure-control","0.25","900",15,0.266033746624689,0.0433333333333333,0.19,0.171111111111111,0.156666666666667,0.487084779965995,1,1,1,1,1,1
"no-exposure-control","0.25","900",16,0.266370957961861,0.0433333333333333,0.188888888888889,0.174444444444444,0.154444444444444,0.487659303046248,1,1,1,1,1,1
"no-exposure-control","0.25","900",17,0.262060942539905,0.0433333333333333,0.192222222222222,0.172222222222222,0.153333333333333,0.487090250218104,1,1,1,1,1,1
"no-exposure-control","0.25","900",18,0.265725299439986,0.0433333333333333,0.19,0.172222222222222,0.155555555555556,0.486864756681249,1,1,1,1,1,1
"no-exposure-control","0.25","900",19,0.260814396235609,0.0433333333333333,0.191111111111111,0.172222222222222,0.155555555555556,0.486827490735555,1,1,1,1,1,1
"no-exposure-control","0.25","900",20,0.265863960654315,0.0444444444444444,0.19,0.173333333333333,0.155555555555556,0.48765314383148,1,1,1,1,1,1
"no-exposure-control","0.25","900",21,0.26621975406486,0.0433333333333333,0.191111111111111,0.171111111111111,0.154444444444444,0.494775943865937,1,1,1,1,1,1
"no-exposure-control","0.25","900",22,0.26211232928482,0.0433333333333333,0.19,0.172222222222222,0.155555555555556,0.487557578505827,1,1,1,1,1,1
"no-exposure-control","0.25","900",23,0.261952444018262,0.0444444444444444,0.188888888888889,0.172222222222222,0.156666666666667,0.487193996895842,1,1,1,1,1,1
"no-exposure-control","0.25","900",24,0.264308780748761,0.0444444444444444,0.188888888888889,0.172222222222222,0.155555555555556,0.494724077427949,1,1,1,1,1,1
"no-exposure-control","0.25","900",25,0.26536276328859,0.0433333333333333,0.188888888888889,0.171111111111111,0.156666666666667,0.487116315733282,1,1,1,1,1,1
"no-exposure-control","0.25","900",26,0.264224697895448,0.0433333333333333,0.19,0.172222222222222,0.155555555555556,0.495381009555482,1,1,1,1,1,1
"no-exposure-control","0.25","900",27,0.262818909214337,0.0433333333333333,0.19,0.172222222222222,0.154444444444444,0.486905090018202,1,1,1,1,1,1
"no-exposure-control","0.25","900",28,0.262406101237236,0.0444444444444444,0.19,0.171111111111111,0.155555555555556,0.487004132611971,1,1,1,1,1,1
"no-exposure-control","0.25","900",29,0.264764404965438,0.0433333333333333,0.188888888888889,0.173333333333333,0.155555555555556,0.495680145966454,1,1,1,1,1,1
"no-exposure-control","0.25","900",30,0.265445193927856,0.0433333333333333,0.188888888888889,0.171111111111111,0.153333333333333,0.49453300595492,1,1,1,1,1,1
"no-exposure-control","0.25","900",31,0.26322273690585,0.0444444444444444,0.19,0.173333333333333,0.155555555555556,0.487157253222861,1,1,1,1,1,1
"no-exposure-control","0.25","900",32,0.26054303977692,0.0444444444444444,0.188888888888889,0.171111111111111,0.156666666666667,0.4868898070104,1,1,1,1,1,1
"no-exposure-control","0.25","900",33,0.263755006548695,0.0444444444444444,0.19,0.173333333333333,0.155555555555556,0.487220330752262,1,1,1,1,1,1
