"ID","CONTENT","FORMAT","RC","DOK","STRATUM"
"ITEM1","BIO","RS","SIN",2,3
"ITEM2","CHE","RS","SIN",1,2
"ITEM3","CHE","CV","EMI",2,2
"ITEM4","BIO","DR","IOD",2,1
"ITEM5","BIO","RS","IOD",2,2
"ITEM6","ESS","DR","EMI",2,1
"ITEM7","PHY","DR","EMI",2,3
"ITEM8","PHY","DR","IOD",2,1
"ITEM9","CHE","DR","IOD",2,1
"ITEM10","BIO","CV","EMI",1,2
"ITEM11","ESS","RS","SIN",1,3
"ITEM12","BIO","RS","SIN",2,2
"ITEM13","CHE","DR","IOD",2,3
"ITEM14","BIO","DR","IOD",2,3
"ITEM15","ESS","DR","IOD",2,3
"ITEM16","ESS","CV","EMI",1,3
"ITEM17","BIO","CV","EMI",2,1
"ITEM18","ESS","RS","SIN",1,3
"ITEM19","ESS","DR","EMI",2,3
"ITEM20","BIO","RS","IOD",3,2
"ITEM21","BIO","CV","EMI",2,3
"ITEM22","BIO","DR","IOD",2,3
"ITEM23","PHY","DR","IOD",2,3
"ITEM24","PHY","DR","IOD",2,3
"ITEM25","PHY","RS","SIN",3,2
"ITEM26","CHE","DR","IOD",2,1
"ITEM27","ESS","RS","SIN",2,1
"ITEM28","BIO","DR","EMI",2,1
"ITEM29","CHE","DR","IOD",2,1
"ITEM30","CHE","CV","EMI",2,2
"ITEM31","CHE","DR","IOD",3,1
"ITEM32","BIO","DR","IOD",2,3
"ITEM33","CHE","DR","EMI",2,1
"ITEM34","BIO","RS","EMI",2,3
"ITEM35","CHE","DR","IOD",3,1
"ITEM36","ESS","RS","IOD",2,2
"ITEM37","ESS","RS","SIN",2,2
"ITEM38","CHE","DR","EMI",3,2
"ITEM39","BIO","RS","IOD",2,1
"ITEM40","ESS","RS","IOD",2,2
"ITEM41","BIO","DR","IOD",3,1
"ITEM42","BIO","CV","EMI",3,3
"ITEM43","PHY","CV","EMI",2,3
"ITEM44","CHE","DR","IOD",2,3
"ITEM45","ESS","RS","IOD",3,1
"ITEM46","BIO","DR","EMI",2,2
"ITEM47","BIO","CV","EMI",2,3
"ITEM48","BIO","CV","EMI",2,1
"ITEM49","CHE","RS","IOD",2,3
"ITEM50","BIO","DR","IOD",2,3
"ITEM51","PHY","RS","EMI",2,2
"ITEM52","BIO","DR","IOD",1,3
"ITEM53","BIO","CV","EMI",3,2
"ITEM54","PHY","DR","IOD",2,1
"ITEM55","PHY","RS","SIN",2,3
"ITEM56","CHE","DR","IOD",2,2
"ITEM57","ESS","CV","EMI",3,3
"ITEM58","PHY","DR","IOD",2,1
"ITEM59","CHE","RS","SIN",2,1
"ITEM60","PHY","RS","SIN",2,1
"ITEM61","BIO","RS","EMI",2,3
"ITEM62","PHY","DR","IOD",2,1
"ITEM63","ESS","RS","EMI",2,3
"ITEM64","BIO","DR","IOD",2,2
"ITEM65","ESS","RS","IOD",2,1
"ITEM66","PHY","CV","EMI",2,2
"ITEM67","BIO","DR","IOD",2,1
"ITEM68","BIO","DR","IOD",2,1
"ITEM69","CHE","RS","IOD",2,1
"ITEM70","BIO","RS","IOD",2,3
"ITEM71","BIO","RS","SIN",2,2
"ITEM72","BIO","RS","SIN",2,1
"ITEM73","ESS","RS","IOD",1,3
"ITEM74","CHE","DR","IOD",3,2
"ITEM75","BIO","DR","IOD",2,3
"ITEM76","ESS","RS","EMI",2,2
"ITEM77","BIO","RS","IOD",2,1
"ITEM78","ESS","RS","SIN",2,1
"ITEM79","CHE","RS","SIN",2,1
"ITEM80","CHE","DR","IOD",1,2
"ITEM81","PHY","DR","SIN",2,3
"ITEM82","ESS","DR","IOD",2,2
"ITEM83","PHY","RS","SIN",2,1
"ITEM84","BIO","DR","IOD",2,3
"ITEM85","ESS","RS","SIN",2,3
"ITEM86","CHE","DR","IOD",2,1
"ITEM87","PHY","RS","SIN",2,3
"ITEM88","BIO","RS","IOD",2,1
"ITEM89","ESS","RS","SIN",2,3
"ITEM90","CHE","DR","IOD",2,1
"ITEM91","PHY","CV","EMI",2,1
"ITEM92","PHY","DR","SIN",2,3
"ITEM93","PHY","RS","SIN",2,3
"ITEM94","PHY","RS","SIN",2,1
"ITEM95","ESS","DR","IOD",2,1
"ITEM96","BIO","CV","EMI",2,3
"ITEM97","CHE","RS","SIN",2,3
"ITEM98","BIO","RS","SIN",3,2
"ITEM99","BIO","DR","SIN",3,2
"ITEM100","CHE","RS","IOD",2,2
"ITEM101","PHY","DR","EMI",2,3
"ITEM102","ESS","RS","EMI",2,2
"ITEM103","BIO","DR","EMI",2,1
"ITEM104","CHE","CV","EMI",2,1
"ITEM105","ESS","CV","EMI",2,2
"ITEM106","BIO","CV","EMI",2,2
"ITEM107","PHY","DR","IOD",2,3
"ITEM108","BIO","RS","SIN",2,1
"ITEM109","ESS","DR","IOD",2,3
"ITEM110","BIO","RS","IOD",2,2
"ITEM111","BIO","DR","SIN",2,1
"ITEM112","CHE","RS","EMI",2,2
"ITEM113","CHE","RS","SIN",2,1
"ITEM114","BIO","RS","SIN",2,3
"ITEM115","ESS","DR","IOD",2,2
"ITEM116","CHE","RS","SIN",2,3
"ITEM117","BIO","DR","IOD",2,3
"ITEM118","BIO","DR","EMI",2,3
"ITEM119","BIO","DR","IOD",2,1
"ITEM120","CHE","CV","SIN",2,1
"ITEM121","PHY","CV","IOD",2,2
"ITEM122","BIO","CV","EMI",1,3
"ITEM123","BIO","RS","EMI",3,2
"ITEM124","BIO","RS","IOD",2,2
"ITEM125","CHE","CV","EMI",1,2
"ITEM126","BIO","RS","IOD",2,2
"ITEM127","BIO","DR","IOD",2,3
"ITEM128","CHE","RS","EMI",2,2
"ITEM129","ESS","RS","SIN",2,3
"ITEM130","CHE","DR","IOD",2,1
"ITEM131","ESS","CV","EMI",2,3
"ITEM132","ESS","RS","IOD",2,1
"ITEM133","CHE","DR","IOD",2,2
"ITEM134","BIO","RS","EMI",2,3
"ITEM135","BIO","RS","EMI",2,1
"ITEM136","CHE","DR","IOD",2,2
"ITEM137","BIO","RS","EMI",2,1
"ITEM138","BIO","RS","IOD",2,2
"ITEM139","PHY","DR","EMI",3,1
"ITEM140","ESS","RS","SIN",2,2
"ITEM141","BIO","RS","SIN",2,3
"ITEM142","BIO","RS","SIN",2,3
"ITEM143","PHY","CV","EMI",2,3
"ITEM144","CHE","RS","SIN",2,1
"ITEM145","PHY","RS","SIN",2,1
"ITEM146","PHY","DR","IOD",2,3
"ITEM147","BIO","RS","IOD",2,3
"ITEM148","CHE","RS","SIN",2,2
"ITEM149","BIO","RS","EMI",2,3
"ITEM150","ESS","RS","IOD",1,3
"ITEM151","CHE","RS","SIN",2,1
"ITEM152","PHY","DR","IOD",2,2
"ITEM153","CHE","CV","IOD",2,1
"ITEM154","PHY","CV","EMI",2,3
"ITEM155","BIO","RS","SIN",2,2
"ITEM156","PHY","CV","EMI",3,3
"ITEM157","BIO","DR","IOD",1,3
"ITEM158","CHE","RS","SIN",2,2
"ITEM159","PHY","CV","EMI",3,2
"ITEM160","CHE","CV","EMI",2,1
"ITEM161","BIO","DR","IOD",2,2
"ITEM162","PHY","RS","SIN",2,3
"ITEM163","BIO","DR","SIN",2,3
"ITEM164","PHY","CV","EMI",2,3
"ITEM165","BIO","RS","IOD",2,2
"ITEM166","CHE","CV","EMI",2,2
"ITEM167","BIO","RS","IOD",2,1
"ITEM168","ESS","RS","SIN",2,2
"ITEM169","BIO","RS","EMI",2,2
"ITEM170","PHY","RS","SIN",3,3
"ITEM171","CHE","RS","SIN",2,2
"ITEM172","ESS","RS","SIN",2,3
"ITEM173","ESS","DR","EMI",2,1
"ITEM174","BIO","DR","EMI",2,1
"ITEM175","PHY","CV","EMI",2,1
"ITEM176","CHE","CV","EMI",2,1
"ITEM177","ESS","DR","IOD",3,2
"ITEM178","ESS","RS","SIN",2,3
"ITEM179","BIO","DR","IOD",1,2
"ITEM180","CHE","DR","IOD",2,2
"ITEM181","CHE","DR","EMI",2,2
"ITEM182","ESS","RS","SIN",2,1
"ITEM183","ESS","DR","EMI",2,1
"ITEM184","BIO","RS","EMI",3,2
"ITEM185","BIO","DR","IOD",2,2
"ITEM186","BIO","DR","IOD",2,2
"ITEM187","BIO","CV","EMI",2,2
"ITEM188","ESS","DR","IOD",2,1
"ITEM189","CHE","RS","EMI",2,2
"ITEM190","PHY","RS","SIN",2,1
"ITEM191","CHE","DR","EMI",2,2
"ITEM192","PHY","DR","IOD",3,3
"ITEM193","BIO","RS","EMI",2,1
"ITEM194","PHY","CV","EMI",2,2
"ITEM195","ESS","RS","SIN",2,3
"ITEM196","PHY","RS","IOD",1,1
"ITEM197","ESS","DR","IOD",2,3
"ITEM198","PHY","RS","IOD",2,2
"ITEM199","ESS","RS","SIN",2,3
"ITEM200","PHY","RS","SIN",2,2
"ITEM201","BIO","DR","IOD",2,2
"ITEM202","ESS","RS","IOD",1,2
"ITEM203","PHY","DR","IOD",2,1
"ITEM204","ESS","DR","EMI",2,1
"ITEM205","ESS","RS","EMI",3,3
"ITEM206","CHE","RS","SIN",2,3
"ITEM207","PHY","RS","SIN",2,3
"ITEM208","ESS","DR","EMI",3,1
"ITEM209","BIO","CV","EMI",2,3
"ITEM210","BIO","RS","SIN",2,2
"ITEM211","BIO","RS","IOD",2,3
"ITEM212","BIO","RS","IOD",2,1
"ITEM213","PHY","RS","IOD",2,2
"ITEM214","CHE","RS","SIN",2,3
"ITEM215","BIO","DR","SIN",2,2
"ITEM216","ESS","DR","IOD",2,3
"ITEM217","PHY","DR","IOD",2,1
"ITEM218","BIO","RS","SIN",2,2
"ITEM219","PHY","DR","EMI",2,1
"ITEM220","CHE","RS","EMI",3,1
"ITEM221","BIO","DR","SIN",2,2
"ITEM222","CHE","RS","EMI",2,1
"ITEM223","CHE","RS","SIN",3,2
"ITEM224","CHE","RS","SIN",2,2
"ITEM225","BIO","RS","IOD",3,1
"ITEM226","ESS","RS","SIN",2,2
"ITEM227","BIO","RS","SIN",2,3
"ITEM228","ESS","RS","SIN",2,1
"ITEM229","CHE","DR","EMI",1,3
"ITEM230","CHE","CV","EMI",2,2
"ITEM231","BIO","RS","IOD",1,1
"ITEM232","BIO","DR","IOD",2,3
"ITEM233","ESS","RS","EMI",2,1
"ITEM234","CHE","RS","SIN",1,1
"ITEM235","CHE","CV","EMI",2,2
"ITEM236","PHY","RS","SIN",2,3
"ITEM237","PHY","DR","IOD",2,2
"ITEM238","CHE","CV","EMI",2,1
"ITEM239","ESS","DR","IOD",2,1
"ITEM240","BIO","CV","EMI",2,2
"ITEM241","ESS","DR","IOD",2,2
"ITEM242","CHE","RS","SIN",2,1
"ITEM243","CHE","RS","SIN",2,3
"ITEM244","BIO","CV","EMI",2,2
"ITEM245","BIO","DR","IOD",2,3
"ITEM246","BIO","RS","EMI",2,1
"ITEM247","BIO","RS","SIN",3,1
"ITEM248","CHE","CV","EMI",2,3
"ITEM249","BIO","RS","IOD",2,2
"ITEM250","BIO","DR","EMI",2,2
"ITEM251","PHY","DR","IOD",2,3
"ITEM252","CHE","RS","IOD",2,3
"ITEM253","BIO","DR","IOD",2,2
"ITEM254","BIO","DR","IOD",2,1
"ITEM255","PHY","RS","IOD",3,2
"ITEM256","PHY","RS","SIN",3,2
"ITEM257","PHY","DR","IOD",2,1
"ITEM258","CHE","CV","EMI",2,3
"ITEM259","ESS","RS","EMI",2,3
"ITEM260","BIO","CV","EMI",1,2
"ITEM261","ESS","RS","EMI",2,3
"ITEM262","ESS","DR","IOD",1,1
"ITEM263","BIO","DR","EMI",2,1
"ITEM264","CHE","DR","EMI",2,3
"ITEM265","CHE","RS","EMI",2,2
"ITEM266","BIO","DR","IOD",2,1
"ITEM267","ESS","CV","EMI",2,1
"ITEM268","ESS","RS","SIN",2,1
"ITEM269","BIO","RS","EMI",2,2
"ITEM270","CHE","RS","IOD",2,3
"ITEM271","CHE","DR","SIN",2,1
"ITEM272","PHY","DR","IOD",2,1
