"ID","MODEL","PAR1","PAR2","PAR3"
"ITEM1","3PL",1.5324408373,-1.4602343587,0.1461107792
"ITEM2","3PL",1.1830838759,-2.0327621043,0.2112880945
"ITEM3","3PL",1.2938022507,-0.7749846782,0.1784143775
"ITEM4","3PL",0.9663640912,0.3350572733,0.2177017462
"ITEM5","3PL",1.5191547468,0.9354857698,0.2916356064
"ITEM6","3PL",1.0811239752,-0.1024264582,0.1875431528
"ITEM7","3PL",1.5355497886,-1.8968873094,0.1856590515
"ITEM8","3PL",0.984798876,0.211777457,0.1859326804
"ITEM9","3PL",0.9863802591,-0.7372507245,0.2221479724
"ITEM10","3PL",1.0308672456,-2.9039145214,0.180493128
"ITEM11","3PL",1.4490081159,-0.2034118641,0.1593018411
"ITEM12","3PL",1.2303328091,0.2750944273,0.1186269579
"ITEM13","3PL",2.0633150152,2.9517010133,0.4463690939
"ITEM14","3PL",1.8456038202,-0.6986643745,0.3883362806
"ITEM15","3PL",1.5622200456,0.2161693027,0.1678671789
"ITEM16","3PL",1.4015872552,-2.0521069807,0.1987028054
"ITEM17","3PL",1.0156869493,-2.0810850173,0.2655775052
"ITEM18","3PL",1.4262244416,-1.4638193664,0.2177023504
"ITEM19","3PL",1.8414899571,-0.1007792612,0.1926826079
"ITEM20","3PL",1.5361804129,2.1998834405,0.2549557106
"ITEM21","3PL",2.4099923146,-0.56470741,0.2217564903
"ITEM22","3PL",1.7377890098,0.9993532274,0.1103613382
"ITEM23","3PL",1.8995458285,1.0820014337,0.3633635401
"ITEM24","3PL",1.6423678241,-0.3974528529,0.2186263791
"ITEM25","3PL",1.0896804791,-1.918523752,0.1714930293
"ITEM26","3PL",1.1263982788,0.1246963768,0.2177110566
"ITEM27","3PL",0.8987840348,-0.8041700669,0.2450990749
"ITEM28","3PL",0.8938462418,-2.0328427605,0.2944634435
"ITEM29","3PL",1.2176633178,0.4252296293,0.2454796743
"ITEM30","3PL",1.19996588,0.3157611829,0.1827727013
"ITEM31","3PL",0.5066762389,-0.4948733109,0.2516197035
"ITEM32","3PL",1.9672566362,0.3664624868,0.1660353556
"ITEM33","3PL",1.0763683756,-1.0028341469,0.2855846063
"ITEM34","3PL",1.850481959,-0.2134692791,0.3035278916
"ITEM35","3PL",0.9400824771,-2.8987214537,0.1967775555
"ITEM36","3PL",1.4580746805,0.0569140798,0.1992370962
"ITEM37","3PL",1.2933966801,-0.9707598208,0.2272695512
"ITEM38","3PL",1.1358875395,-2.1808039018,0.1159709944
"ITEM39","3PL",0.8975360881,-1.4558504192,0.226619462
"ITEM40","3PL",1.448095801,1.4775830511,0.1420546799
"ITEM41","3PL",1.1462459917,0.7151043179,0.1614955663
"ITEM42","3PL",2.0531983055,0.7708142913,0.2948238717
"ITEM43","3PL",1.8580739633,-0.5198415618,0.1321853844
"ITEM44","3PL",1.7050909472,0.8205756056,0.1453951685
"ITEM45","3PL",0.9286635762,0.0658615861,0.1928366468
"ITEM46","3PL",1.3522180235,-0.3137808971,0.2569774871
"ITEM47","3PL",1.8152199153,0.9969893465,0.252538235
"ITEM48","3PL",0.866107985,-0.3074598009,0.1647694894
"ITEM49","3PL",1.6327075273,1.9862088851,0.3263470941
"ITEM50","3PL",1.554515264,0.2687605705,0.2755669342
"ITEM51","3PL",1.3498340614,-0.2271773802,0.2896552652
"ITEM52","3PL",1.7074628842,0.6631112069,0.2708373635
"ITEM53","3PL",1.2136813804,-0.6254155327,0.213280864
"ITEM54","3PL",1.0571187637,-0.6263172461,0.2465159398
"ITEM55","3PL",1.515352889,-0.7095808409,0.2306748439
"ITEM56","3PL",1.2369835539,-0.1470428106,0.1660181443
"ITEM57","3PL",1.7198654994,-1.5545282475,0.0902439448
"ITEM58","3PL",0.9846852692,-0.43968863,0.1814675569
"ITEM59","3PL",0.9335259243,-1.1774564658,0.1988539956
"ITEM60","3PL",0.6315983238,-0.3265935467,0.1379236958
"ITEM61","3PL",1.5084019872,-2.0584706243,0.206009043
"ITEM62","3PL",1.0156259393,-0.572568315,0.2082650968
"ITEM63","3PL",1.3859110539,-1.928687966,0.2104312104
"ITEM64","3PL",1.3137517864,-0.826302446,0.2048823763
"ITEM65","3PL",0.89366752,-1.7190728679,0.2495403554
"ITEM66","3PL",1.4296877881,0.3160219815,0.1666174796
"ITEM67","3PL",0.5831674145,0.5073039692,0.2205790403
"ITEM68","3PL",0.9266176181,-1.3944857375,0.1926461635
"ITEM69","3PL",0.9119623399,-1.8983309482,0.1237664617
"ITEM70","3PL",1.7498157372,0.9940200608,0.1812800433
"ITEM71","3PL",1.1945397454,-1.9763571764,0.1475472429
"ITEM72","3PL",1.0165048016,1.2920066567,0.2597139195
"ITEM73","3PL",1.6841628161,0.9126338809,0.2941484176
"ITEM74","3PL",1.2196128422,-0.7414873629,0.2434719651
"ITEM75","3PL",1.6398887724,0.7295657976,0.2997115233
"ITEM76","3PL",1.3864958856,-0.1960435561,0.2026738376
"ITEM77","3PL",0.5253636907,-2.5465833323,0.1075762954
"ITEM78","3PL",1.0129459046,-0.8078604712,0.0718556577
"ITEM79","3PL",1.0064703422,-1.4491161354,0.1183726816
"ITEM80","3PL",1.2231707212,-0.0513512337,0.2011711939
"ITEM81","3PL",1.6641930117,-1.6742360111,0.1457516062
"ITEM82","3PL",1.1452271392,-1.2628351858,0.164989735
"ITEM83","3PL",0.6100120974,0.2806203121,0.1817293825
"ITEM84","3PL",1.6352993577,0.2261114359,0.2688378801
"ITEM85","3PL",1.6093785826,-0.6179642749,0.2127733065
"ITEM86","3PL",0.9191923144,0.0474978985,0.2840378803
"ITEM87","3PL",2.2880801555,0.4394424136,0.3174518758
"ITEM88","3PL",0.975693633,-1.6723122753,0.151513192
"ITEM89","3PL",1.4191230941,-1.2750451052,0.2823661321
"ITEM90","3PL",1.1347775653,1.3505389157,0.2901619174
"ITEM91","3PL",1.1012249723,-0.491612806,0.0620017386
"ITEM92","3PL",2.0485075189,0.2819644227,0.2677472435
"ITEM93","3PL",1.8162020376,0.2747014776,0.2327290069
"ITEM94","3PL",0.5216181251,-2.2873267121,0.2896371735
"ITEM95","3PL",0.7151530918,-3.1626303391,0.0652619985
"ITEM96","3PL",1.7202751691,1.8540486356,0.316879378
"ITEM97","3PL",1.882636392,-0.5474005887,0.2300629651
"ITEM98","3PL",1.3155497804,0.7970048041,0.3555623994
"ITEM99","3PL",1.1645575082,-0.8544130147,0.1132019882
"ITEM100","3PL",1.3313457154,0.828279354,0.2196907985
"ITEM101","3PL",1.9018524553,0.3378985495,0.2777200903
"ITEM102","3PL",1.3484924098,-0.0485126217,0.1902442587
"ITEM103","3PL",0.4374010429,-1.7104569125,0.156765008
"ITEM104","3PL",0.7044245219,-1.649623665,0.2836130302
"ITEM105","3PL",1.4043826246,-1.0145501161,0.2198253877
"ITEM106","3PL",1.3100418445,-0.6316975042,0.1729791718
"ITEM107","3PL",1.8691383897,-0.4455567017,0.1765959069
"ITEM108","3PL",0.88109903,-0.9534407366,0.118139742
"ITEM109","3PL",1.7729154502,-1.1522786405,0.1141602153
"ITEM110","3PL",1.3852757334,1.8992188836,0.1860752166
"ITEM111","3PL",0.8920224727,-1.8477033339,0.177710231
"ITEM112","3PL",1.23048456,1.3476544125,0.2499269921
"ITEM113","3PL",0.7455983788,-2.0967681315,0.1128696725
"ITEM114","3PL",1.9380867308,-0.1234529386,0.2864908176
"ITEM115","3PL",1.2675803726,-1.2059945952,0.1156313749
"ITEM116","3PL",2.0996167032,2.0592374594,0.3314548626
"ITEM117","3PL",1.8528776012,0.3342113875,0.2167784492
"ITEM118","3PL",1.6670147851,-2.0035215666,0.1623852635
"ITEM119","3PL",0.9832718884,-2.6200260961,0.1748817704
"ITEM120","3PL",1.0262606493,-2.3455252028,0.2268937685
"ITEM121","3PL",1.4648466805,0.1820163275,0.1839427837
"ITEM122","3PL",1.4671629613,-0.3618426223,0.1168946861
"ITEM123","3PL",1.1662387542,-0.2227269766,0.2320260435
"ITEM124","3PL",1.2106084315,-2.0993260385,0.1437384805
"ITEM125","3PL",1.3073485427,-1.1498677708,0.1441430286
"ITEM126","3PL",1.4739010464,0.2319984005,0.2599244744
"ITEM127","3PL",1.4228519224,-1.0582683745,0.1318756978
"ITEM128","3PL",1.2154054838,-2.5832605367,0.1862821912
