"","rmse","rmse","rmse","rmse","uniformity","uniformity","uniformity","uniformity"
"itempool_size",900,900,600,600,900,900,600,600
"target",0.25,0.15,0.25,0.15,0.25,0.15,0.25,0.15
"no-exposure-control",0.264422209770331,0.264422209770331,0.275401612941632,0.275401612941632,0.490084440044854,0.490084440044854,0.487364155841458,0.487364155841458
"alpha-stratification-1str-2",0.294546258089357,0.294546258089357,0.30555587236603,0.30555587236603,0.472879644127688,0.472879644127688,0.477952519489234,0.477952519489234
"alpha-stratification-1str-3",0.305617473057992,0.305617473057992,0.313574124507417,0.313574124507417,0.480329577089106,0.480329577089106,0.478347611562584,0.478347611562584
"eligibility",0.30534501675534,0.33275782551647,0.325295995177882,0.361326634004868,0.762780979213476,0.83742664344524,0.781747646185929,0.855671944362409
"progressive-restricted",0.307648425709417,0.33060200511849,0.325684541979,0.355656348519316,0.788876327010441,0.847743125961553,0.802630885956702,0.864835790406988
"hybrid-se-1str-2",0.350401151171964,0.382698630224906,0.371426861888311,0.412646890740658,0.793883276229235,0.863641392570936,0.811438737685586,0.87612030810312
"hybrid-se-1str-3",0.374289125961429,0.40889472570342,0.387998264824005,0.425833728466601,0.822851017504036,0.876077835387573,0.838313930218762,0.891585244634964
"multiple-objective",0.311555224688123,0.334474025531576,0.329374909806335,0.356650463955432,0.826470186211406,0.870792634525106,0.834613397128193,0.88364518860933
"itempool_size",900,900,600,600,900,900,600,600
"target",0.25,0.15,0.25,0.15,0.25,0.15,0.25,0.15
"no-exposure-control",0.0436444444444444,0.0956888888888889,0.0737666666666667,0.1374,0.190266666666667,0.190266666666667,0.273116666666667,0.273116666666667
"alpha-stratification-1str-2",0.0413666666666666,0.0930777777777777,0.07025,0.125416666666667,0.2092,0.2092,0.296666666666667,0.296666666666667
"alpha-stratification-1str-3",0.0397,0.0887555555555556,0.0627833333333333,0.13615,0.233233333333333,0.233233333333333,0.315916666666667,0.315916666666667
"eligibility",0,0,0,0,0.452666666666666,0.639855555555556,0.617816666666667,0.8087
"progressive-restricted",0,0,0,0,0.5474,0.677044444444445,0.724216666666667,0.874566666666667
"hybrid-se-1str-2",0,0,0,1.66666666666667e-05,0.545811111111111,0.727322222222222,0.757666666666667,0.938466666666667
"hybrid-se-1str-3",0,0,0,0,0.6386,0.831311111111111,0.908516666666667,0.969866666666667
"multiple-objective",0,0,0,0,0.674288888888889,0.789477777777778,0.8016,0.9113
