"method","itempool_size","target","max_spike","max_spike_1","max_spike_2","max_spike_3","max_spike_4","max_spike_5"
"no-exposure-control",900,0.25,1,1,1,1,1,1
"alpha-stratification-1str-2",900,0.25,1,1,1,1,1,1
"alpha-stratification-1str-3",900,0.25,1,1,1,1,1,1
"eligibility",900,0.25,0.159689,0.263049267797967,0.256368610653436,0.258020172740809,0.258148122698302,0.263722284347734
"progressive-restricted",900,0.25,0.139774,0.253333826330761,0.251118537166949,0.25193845206789,0.251117365210127,0.255309799696989
"hybrid-se-1str-2",900,0.25,0.173482,0.275343919989412,0.253241768722402,0.253385251687953,0.251725127258915,0.272459130567222
"hybrid-se-1str-3",900,0.25,0.142498,0.262595378072056,0.249620065816684,0.254977825875198,0.2442929737655,0.270272795575755
"multiple-objective",900,0.25,0.173113,0.402180638894193,0.224325610968889,0.198877398188683,0.209820702969723,0.440189713436918
"no-exposure-control",900,0.15,1,1,1,1,1,1
"alpha-stratification-1str-2",900,0.15,1,1,1,1,1,1
"alpha-stratification-1str-3",900,0.15,1,1,1,1,1,1
"eligibility",900,0.15,0.098301,0.164215523679713,0.159237852805714,0.162474385344601,0.160100881162392,0.165440181529592
"progressive-restricted",900,0.15,0.094739,0.155043448818413,0.151792797074287,0.152109160397649,0.150454686534675,0.155968057297876
"hybrid-se-1str-2",900,0.15,0.107012,0.177838768200182,0.15273850715983,0.15707097396986,0.153176642144859,0.173476250417974
"hybrid-se-1str-3",900,0.15,0.098738,0.173627259038729,0.150849368492724,0.151401900598809,0.153025315778313,0.173012299490025
"multiple-objective",900,0.15,0.117431,0.272983014544566,0.145622645736384,0.132783179463451,0.144713304518278,0.331054374361629
"no-exposure-control",600,0.25,1,1,1,1,1,1
"alpha-stratification-1str-2",600,0.25,1,1,1,1,1,1
"alpha-stratification-1str-3",600,0.25,1,1,1,1,1,1
"eligibility",600,0.25,0.15967,0.262390768305978,0.256660517598504,0.257707856628637,0.257821323997634,0.262710209389233
"progressive-restricted",600,0.25,0.153632,0.254001305076666,0.251214920730834,0.25094370380878,0.250038236928873,0.255410931387832
"hybrid-se-1str-2",600,0.25,0.181796,0.259096307233978,0.253450375345205,0.252633071120209,0.248051628424202,0.273979189218796
"hybrid-se-1str-3",600,0.25,0.164633,0.260308748298393,0.248862434066584,0.246407366095077,0.244897936883353,0.261376838152635
"multiple-objective",600,0.25,0.182315,0.410873432168528,0.238635988446471,0.201685525085497,0.226950046922677,0.47830633749717
"no-exposure-control",600,0.15,1,1,1,1,1,1
"alpha-stratification-1str-2",600,0.15,1,1,1,1,1,1
"alpha-stratification-1str-3",600,0.15,1,1,1,1,1,1
"eligibility",600,0.15,0.132667,0.166181527398067,0.15950533415185,0.160781598129681,0.160267163139425,0.168135894794998
"progressive-restricted",600,0.15,0.132992,0.154402521923738,0.150494171551952,0.151994905164547,0.148629124569994,0.156397681471604
"hybrid-se-1str-2",600,0.15,0.143948,0.177980850490047,0.154363141411587,0.152015066007454,0.155551435608266,0.168213224044429
"hybrid-se-1str-3",600,0.15,0.1221,0.157652540069397,0.151542724703324,0.149967411574308,0.154978378363141,0.167392428259732
"multiple-objective",600,0.15,0.126274,0.293245153479947,0.151512303435323,0.135559799487253,0.15794745315793,0.387757978891353
